x,year,month,tw_use_m01,tw_use_m02,tw_use_m03,tw_use_m04,tw_use_m05,tw_use_m06,tw_use_m07,tw_use_m08,tw_use_m09,tw_use_m10,tw_use_m11,tw_use_m12,,label
호잇짜~,2025,10,444,1120,301,353,184,83,163,266,,,,,,0
그럼 죽어,2025,3,17031,18655,10218,11196,15001,4749,7603,4978,3372,3934,3915,2708,,1
기적 같은 하루가 널 기다리고 있어.,2025,5,503,247,79,64,40,10,11,9,8,8,0,4,,0
난 네 심장보다도 가까운 곳에서 널 지켜볼테니까.,2025,11,128,325,544,334,153,115,84,,,,,,,0
사실 나도 00에 가본 적이 없어,2025,1,133,193,227,75,109,114,78,97,98,123,136,164,,0
"전부, 가르쳐 줄게",2025,4,104,72,81,217,139,126,137,138,145,178,115,139,,0
밤!~,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
나는 이 게임을 해봤어요,2025,4,2224,8034,2609,2122,1039,1668,633,298,133,49,33,10,,0
둥글게 둥글게,2025,1,180,66,176,81,69,43,47,12,20,15,11,13,,0
빨주노초 I'm a legend 타노스,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
"경수, You Out!",2025,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
너한테 벌이 앉았어,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
똑똑 누구십니까? 꼬마입니다. 꼬마야~ 꼬마야~,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
그런 놈이 여기를 왜 다시 기어들어 와?,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
"456번, 아직도 사람을 믿나?",2025,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
우리는 말이 아니야. 사람이야.,2025,0,0,0,0,0,0,0,,,,,,,,0
Tralalero Tralala,2025,0,0,0,0,0,0,0,,,,,,,,0
트랄랄레로 트랄랄라,2025,5,6552,2216,1737,795,193,126,47,51,52,44,50,10,,0
봄바르디로 크로코딜로,2025,2,4788,3513,1930,1127,476,158,56,93,18,31,34,18,,0
퉁 퉁 퉁 퉁 퉁 퉁 퉁 퉁 퉁 사후르,2025,4,1199,2505,6500,1969,927,465,194,88,65,56,34,34,,0
브르르 브르르 파타핌,2025,5,3030,1956,1127,550,348,154,157,84,172,135,67,109,,0
호텔경제학,2025,12,8093,6866,22151,6015,1989,1129,,,,,,,,0
텍사스 경제학,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
테토남,2025,1,975,2537,3425,4049,6441,14320,7443,13507,7819,8548,12371,14435,,1
테토녀,2025,10,15148,35961,37164,21250,21726,13760,9366,8028,,,,,,1
에겐남,2025,6,1204,1754,3883,7785,9625,16893,26458,17618,18631,25975,16143,27873,,1
에겐녀,2025,6,1482,1441,4009,7175,11587,15755,13420,15052,15395,9909,14430,16891,,1
댓글 예쁘게 달아라,2025,0,0,0,0,0,0,0,0,0,0,,,,,0
폭싹 00수다,2025,9,881,1133,1903,2938,4111,5294,6402,6524,9286,,,,,1
학씨!,2025,1,1215,2219,1216,727,610,230,190,103,228,65,78,26,,0
부들부들,2025,2,8798,25405,7331,4048,1413,664,251,73,66,53,63,11,,0
오만가지 소스,2025,5,5154,2290,1501,1386,343,449,241,440,91,13,13,5,,0
Chill하군,2025,11,316,482,484,538,932,1246,1324,,,,,,,1
첩앤칩스,2025,3,16,17,14,16,24,16,110,7,8,13,19,15,,0
유첩무칩,2025,7,82,102,144,133,133,86,70,87,122,135,138,,,0
일첩이조,2025,3,35,35,31,45,41,26,89,27,76,53,133,100,,0
가나디,2025,1,14793,22102,61132,34115,14148,15924,14884,37055,50644,26623,13250,9569,,1
그건 절대 안 되는 일이얌,2025,5,27,39,25,26,7,11,7,0,10,11,11,0,,0
하룰라라,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
궁전으로 갈 수도 있어,2025,1,50,82,37,31,9,5,5,9,4,8,12,8,,0
귀하게 자란 내가 이런 걸 봐도 될까?,2025,11,34,28,41,31,20,21,30,,,,,,,0
나한테명령하지마할꺼면마인크래프트명령어로말해,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
허거덩거덩스,2025,3,259,103,62,24,10,11,17,0,7,10,0,6,,0
난가병,2025,8,28,38,70,40,45,51,29,23,22,23,,,,0
리얼 허거덩거덩스한 상황,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
머시써 머시써 이찬 오빠 멋있어,2025,11,19,23,14,16,21,13,13,,,,,,,0
귀여워 귀여워 칭칭 언니 귀여워,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
보법,2025,3,12096,22949,13559,8396,5787,9058,7679,14503,26419,10148,8922,5073,,1
사람아니야,2025,2,1657,1242,509,321,136,68,64,35,139,0,0,0,,0
아 진짜요,2025,4,488,241,74,89,34,10,11,11,0,4,0,5,,0
야르,2025,8,20425,12533,10234,10523,11661,12294,8802,126,7283,6565,,,,1
어른들은 몰라요,2025,7,694,772,488,284,178,90,70,65,111,62,65,,,0
오늘도 평화로운 린도 린도 린도,2025,12,64,51,11,18,0,0,,,,,,,,0
제가 그 팔리아치입니다,2025,0,0,0,0,0,0,0,0,0,,,,,,0
캄대남,2025,6,3524,2042,5354,2201,1440,1459,33,149,521,58,23,7,,0
폭주기니,2025,12,302,503,254,608,662,1266,,,,,,,,1
한국의 오타니,2025,4,613,1264,757,323,334,197,230,167,53,147,46,50,,0
할래말래할래말래 애매하긴해,2025,3,330,190,135,97,35,19,0,6,3,10,0,5,,0
화짱조,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Don't do that jamie,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
섹시푸드,2025,3,38551,29121,28442,26993,24499,16399,12961,13607,16519,8017,8746,8376,,1
힙레,2025,11,43,32,10,0,0,3,5,,,,,,,0
00 선수 진짜 죽습니다,2025,8,383,586,520,1105,1231,973,2130,1710,1443,1374,,,,1
00어게인,2025,1,13281,11530,23110,23336,18145,10238,9953,9638,7729,10668,6601,7698,,1
어쩔수가없다,2025,3,17879,7645,3676,2402,728,286,254,146,55,113,26,37,,0
