x,year,month,tw_use_m01,tw_use_m02,tw_use_m03,tw_use_m04,tw_use_m05,tw_use_m06,tw_use_m07,tw_use_m08,tw_use_m09,tw_use_m10,tw_use_m11,tw_use_m12,,label
T라 미숙해,2024,4,71,135,65,54,101,53,112,70,84,58,51,239,,0
여우가 범의 허리를 끊었다,2024,9,44,37,44,94,170,36,29,22,96,36,50,22,,0
험한 것이 나왔다,2024,7,772,1192,420,217,214,63,117,35,164,13,26,49,,0
머리를 내리쳐요,2024,11,36,49,75,29,22,5,4,0,7,8,5,0,,0
생각만 해도 너무 즐거워요,2024,4,54,40,70,45,19,18,14,13,0,10,5,0,,0
해병문학,2024,8,9,0,10,17,123,14,15,16,14,12,13,9,,0
이런 햄버거가 싹 식어 버렸잖아,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
도와줘요 함박아 해병님,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
00속도로 달려왔습니다,2024,2,3989,7018,5791,2622,2300,1739,1436,1776,1893,1236,1177,261,,1
이븐,2024,1,45700,23577,26005,16271,11362,8054,6487,12503,6144,13244,6648,5248,,1
채소의 익힘 정도,2024,6,569,783,1747,1029,644,554,766,371,770,1422,1135,364,,1
보류 드리겠습니다.,2024,11,121,146,156,252,523,638,965,1074,1358,267,902,207,,1
오늘 급식 메뉴는 뭔가요?,2024,12,3389,6027,4439,1231,603,266,109,88,50,18,51,0,,0
고종원,2024,2,27356,11563,4659,3139,1833,723,113,271,151,101,43,28,,0
고죠 백토루,2024,5,416,337,489,664,605,836,933,971,1363,974,799,186,,1
이 음식은 00주자,2024,3,1292,956,298,120,52,23,133,37,96,126,5,69,,0
료이키 텐카이,2024,4,742,969,890,512,141,93,62,132,108,38,138,0,,0
근데 이제 00을 곁들인,2024,11,496,1261,2764,3795,9713,10406,15984,18575,21844,16222,16174,11659,,1
"나야, 들기름",2024,1,4863,3164,1507,811,672,289,159,77,449,0,5,0,,0
나야 00,2024,7,54816,52477,31417,43744,22863,41312,41090,51118,48996,36612,39122,219,,1
물고기,2024,6,9549,5836,1887,1738,520,441,530,238,44,7,14,4,,0
빠스잖아?,2024,2,3502,2678,6253,4318,4609,1477,59,65,47,40,23,3,,0
조이보아씨 여기로 내려와봐유,2024,7,621,1649,686,697,477,147,189,96,106,67,60,76,,0
준비되었어유?,2024,8,1542,977,472,470,194,107,117,92,131,115,66,30,,0
우리 동네는 밤마다 울려 총성,2024,5,191,285,326,215,173,118,90,208,128,24,74,90,,0
아파트 아파트 아파트 아파트,2024,3,373,722,1210,719,315,144,168,135,67,52,66,43,,0
먼저 움직이는 사람은 게이,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
다른 멤버들은 놀랄만큼 못생겼음,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
공을 네모 안에 넣어,2024,6,146,197,121,150,131,66,98,205,216,235,145,139,,0
너 기미지비자나,2024,9,16,149,17,21,27,14,39,19,19,18,21,20,,0
도영아 니땀시 살어야,2024,1,329,447,2048,498,190,147,102,151,28,0,0,0,,0
도니살,2024,1,72,55,18,8,13,19,0,0,0,0,4,11,,0
야구를 누가 즐겁게 봐요,2024,7,819,4369,2009,1269,583,414,47,406,91,8,20,0,,0
투마카세,2024,6,1101,564,406,249,248,92,64,103,35,59,121,7,,0
매그내릭,2024,10,2071,1623,525,482,207,196,74,123,72,81,29,176,,0
이해가 되셨을까요?,2024,5,59,96,77,140,81,121,75,99,88,64,69,107,,0
계몽령,2024,3,904,377,204,154,58,53,39,106,197,14,24,90,,0
하느님이 Bow하사 우리나라만 쎄,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
00이 되,2024,2,10589,10679,3737,1169,863,468,359,168,273,0,0,0,,0
00하게 되,2024,3,5029,12047,11779,5948,2883,2084,200,26,175,12,11,14,,0
각자도생,2024,3,32,22,16,12,0,0,13,0,0,0,0,0,,0
긁,2024,7,23088,44680,29046,19152,29620,21693,31179,52531,25346,20467,13684,16811,,1
김쁠뿡,2024,7,101,160,47,44,18,7,12,7,7,3,2,8,,0
까탈레나 피크민,2024,2,24,25,12,12,15,13,27,27,21,25,16,33,,0
나거한,2024,5,756,1387,458,715,188,147,186,68,31,91,32,71,,0
난 대학시절 000을 전공했단 사실,2024,7,3584,14432,14990,7198,1933,1083,292,122,92,43,63,27,,0
뉴진스님,2024,4,85,146,138,191,78,112,46,157,104,99,53,94,,0
러닝 크루,2024,1,2492,1266,265,215,78,48,146,11,0,0,0,0,,0
로스트 미디어,2024,4,88,103,51,67,75,59,30,135,78,115,101,141,,0
마인크래프트인데,2024,5,2204,2151,679,254,128,106,158,85,35,47,96,91,,0
억까,2024,10,22130,25478,31212,25762,29781,21583,16423,29696,40792,36970,26276,27488,,1
암파인 괜찮아,2024,6,256,366,272,209,119,51,141,41,80,72,12,66,,0
앙딱정,2024,11,81,51,72,80,33,13,7,14,12,2,3,0,,0
야흐야 사리 연설,2024,8,105,89,108,25,20,8,16,0,0,0,6,0,,0
어메이징 디지털 서커스,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
어제 내 세상이 무너졌어,2024,5,38,22,31,31,20,24,38,42,33,102,54,31,,0
오야스미,2024,4,5616,8009,9814,6382,4234,3575,2171,1541,898,935,840,173,,1
오카네카세구,2024,11,74,108,40,24,21,7,9,2,4,3,3,0,,0
00게이,2024,2,1025,1676,1928,7708,8515,12156,13585,17558,15602,12174,10567,17556,,1
이것뭐에요?,2024,9,34,30,25,20,19,18,24,24,24,30,47,44,,0
이대로 괜찮은가,2024,9,97,30,116,56,53,53,62,104,71,59,77,58,,0
이머전시,2024,1,361,374,480,628,927,991,275,1125,1387,1108,136,1495,,1
자낳괴,2024,9,8527,9038,10395,9846,7329,7781,8942,12382,12195,9869,7854,6232,,1
자중해,2024,9,1165,2096,2354,1129,387,451,241,195,198,84,152,19,,0
짜치다,2024,10,28719,27447,28172,21731,15024,14822,10437,12134,8374,6575,7238,11227,,1
천룡인,2024,1,1037,3194,1915,1249,537,438,276,261,128,160,62,28,,0
크아악 롤랑,2024,7,35,47,23,39,35,35,22,23,25,23,32,42,,0
테무산 00,2024,3,1130,574,2278,1000,434,320,257,161,78,133,51,16,,0
테토리스,2024,7,27,31,27,34,30,30,15,22,15,22,21,34,,0
00바오,2024,2,5562,3556,3682,2512,1566,1779,1642,1178,1538,1070,1473,843,,1
00처럼 달러왔습니다,2024,5,519,607,1053,1818,3027,3824,6759,4587,149,4985,5286,5537,,1
멋지다 연진아,2023,7,47,36,36,31,31,26,36,25,17,34,33,29,,0
뉴진스의 하입보이요,2023,11,328,335,1179,628,390,277,134,62,198,71,95,36,,0
우리 엄마엄마가,2023,4,2849,1905,790,633,575,308,344,147,183,203,137,50,,0
마따끄,2023,5,370,476,389,248,98,80,248,29,9,0,0,0,,0
나문희의 첫사랑,2023,7,821,499,381,128,124,72,56,36,361,0,0,0,,0
나이트 댄서,2023,6,27,36,27,27,9,20,9,9,0,14,0,11,,0
고도로 발달한 00는 00와 구분할 수 없다,2023,9,5509,1616,1292,706,327,136,84,133,45,0,0,0,,0
문단속,2023,4,200,262,412,801,1543,1276,2390,2170,2745,2153,2311,2138,,1
뽀삐뽀삐뽀 뽀삐뽀,2023,2,19,57,16,22,19,11,83,14,10,12,11,9,,0
해피캣,2023,6,20600,8261,4479,1478,1396,545,318,385,76,8,4,3,,0
이궈궈던,2023,4,745,789,1840,2436,3951,4984,6442,6309,3937,6686,5445,6490,,1
아디아디아디,2023,4,26,21,21,18,10,66,22,12,27,20,28,32,,0
강풍 올백,2023,6,44,68,54,50,18,9,11,4,8,3,13,7,,0
00한 건에 대하여,2023,7,2437,3687,3304,2387,957,463,465,85,126,72,70,32,,0
너 T야?,2023,7,2503,7774,3287,4425,1196,1227,567,345,117,137,31,53,,0
크아아악! 00아!,2023,11,38,62,50,33,26,46,31,34,42,20,45,58,,0
아오 페리시치,2023,8,90,123,282,126,45,27,6,23,14,0,3,5,,0
좋았어 영차,2023,4,3049,8840,5992,5179,2231,636,394,172,420,20,7,3,,0
LK-99,2023,2,12559,19884,10124,9995,10062,5046,7057,3237,3163,3399,3103,127,,1
초전도체,2023,9,60981,45046,39181,29153,24256,13948,12962,13562,16287,12294,6741,125,,1
인생 하드모드,2023,4,71,49,43,42,62,129,36,51,84,72,60,54,,0
어 맞아맞아 놀랍지만 그건 사실이야,2023,9,462,876,1210,847,292,178,67,131,119,174,50,30,,0
피어나 너 내 도도독,2023,3,15247,7320,2215,963,554,314,152,82,29,61,29,13,,0
워싱시,2023,12,34477,30221,16802,8065,11280,12284,13784,19874,35639,83612,35483,24843,,1
슬릭백,2023,9,43203,27901,29142,30664,37402,39038,28077,43317,34249,42905,36336,40789,,1
"잘 가라, 최강. 내가 없는 시대에 태어났을 뿐인 범부여",2023,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
I am신뢰에요,2023,12,3319,10936,6606,3011,1310,1052,397,160,95,96,47,46,,0
I am 00에요,2023,6,37207,25666,25459,28758,30857,47599,25631,20377,17248,36678,38072,31212,,1
똑똑한 청년,2023,6,2209,4774,3881,2223,2222,1888,2158,1645,138,2157,1200,1772,,1
장충동왕족발보쌈,2023,4,7580,5201,6875,7501,3602,4693,4511,2951,3017,3214,3692,3753,,1
럼자오자레,2023,4,14,65,24,20,22,152,16,16,17,60,12,110,,0
당근칼,2023,7,95,86,162,52,109,136,85,122,93,106,156,72,,0
기습숭배,2023,7,1238,2011,1972,1783,3387,6016,7352,5844,7046,6136,9042,5796,,1
나 00인데 개추 눌렀다,2023,8,745,1499,428,575,111,106,38,167,11,0,0,0,,0
00에서 연락옴,2023,1,399,114,61,45,25,9,0,5,0,9,0,6,,0
치피치피 차파차파,2023,10,14,26,108,21,13,9,11,9,8,14,15,15,,0
전두광,2023,5,1302,3403,2362,1525,1422,1073,1002,2399,2476,1640,124,927,,1
00햄,2023,8,8425,4573,4894,1888,1650,1332,1769,1372,1530,1240,199,206,,1
근데 이제 뭐함?,2023,9,404,1181,1212,457,302,339,218,190,59,74,47,81,,0
강해린 이상하다,2023,12,39,21,20,14,15,10,4,3,5,3,5,16,,0
하입보이요,2023,4,14297,7067,3706,1493,552,328,339,99,247,7,0,0,,0
나 지금 되게 신나,2023,12,107,109,98,122,160,128,99,55,128,115,58,99,,0
네 덕분이야 연진아,2023,3,29,26,40,40,37,51,45,35,52,90,36,28,,0
"멋지다, 연진아!",2023,12,16,14,25,16,20,8,0,13,128,12,9,13,,0
알아들었으면 끄덕여,2023,6,255,367,211,163,68,30,66,94,34,56,142,96,,0
오늘부터 내 꿈은 너야,2023,9,125,64,31,34,48,79,36,24,168,26,43,45,,0
이사라가 니 남친이야?,2023,11,24,13,38,24,31,25,31,35,17,25,19,22,,0
차 타고요,2023,5,213,216,94,65,31,40,7,7,11,3,0,0,,0
00 비상 00따운 00나와,2023,7,224,529,313,125,74,22,45,18,30,167,66,113,,0
00 따운,2023,1,866,1448,1774,2397,2271,2015,2290,1429,1358,1074,195,835,,1
대00,2023,6,36673,63502,38359,22942,26276,30867,21298,33243,48469,28794,30529,15319,,1
새삼 00가 대단하다고 느껴지네,2023,4,1036,360,212,140,49,24,244,0,3,0,0,0,,0
00은 00에게 지지 않습니다,2023,3,250,187,262,239,165,146,225,232,168,268,202,145,,0
맑눈광,2023,7,16348,26832,26335,14117,13162,10588,12217,8628,9245,10202,6304,4627,,1
맑은 눈의 광인,2023,11,1045,966,1575,1978,2545,3625,4416,4050,5019,3901,6328,5473,,1
그 이왕이면 혁명이란 멋진 단어를 쓰십시오,2023,3,59,49,10,12,9,0,8,7,0,2,8,3,,0
세상은 그대로야,2023,3,128,46,19,11,0,10,12,3,0,10,0,5,,0
실패하면 반역 성공하면 혁명,2023,3,81,106,92,91,125,160,128,170,208,89,151,88,,0
오늘 밤은 여기가 최전방이야,2023,10,98,48,28,19,9,15,0,0,3,7,7,7,,0
너 하나회야,2023,4,383,580,150,112,72,19,142,109,35,34,51,44,,0
내가 니들 상관의 상관이야,2023,6,92,76,68,53,72,56,75,120,139,115,109,57,,0
우이빔,2023,9,1629,974,649,221,166,75,108,30,95,44,32,107,,0
왼손은 거들 뿐,2023,12,596,2483,1746,1090,766,292,196,320,41,0,0,4,,0
이거 보세요오,2023,11,1898,1158,3492,2122,1525,1020,1091,552,575,484,494,330,,1
바부바부바부바부,2023,8,989,1016,338,250,126,105,112,184,27,134,49,12,,0
저쪽 집이 무너졌다고 해서 구경하러 갔죠,2023,7,102,171,374,89,51,32,21,9,17,0,12,9,,0
홍박사님을 아세요,2023,10,7829,5809,2349,1239,1035,525,615,131,114,35,12,0,,0
그 긴거,2023,6,2568,2983,2346,3191,2757,3222,4711,2844,1937,251,203,234,,1
꽃 향기만 남기고 갔단다,2023,6,63,22,26,40,35,32,37,20,24,13,77,16,,0
나거한,2023,2,1584,687,444,346,362,96,111,115,43,132,41,83,,0
너 내 도도독,2023,12,372,619,351,64,35,61,13,12,0,0,4,5,,0
넘어갈게요,2023,9,10688,5187,2087,941,370,196,188,62,44,28,27,13,,0
놀라울 만큼 그 누구도 관심을 주지 않았다.,2023,9,849,410,1863,967,565,609,264,330,96,19,20,18,,0
당신도 나락에 갈 수 있다.,2023,8,55,79,84,57,101,64,75,93,94,54,42,38,,0
빵빵아 옥지얌,2023,11,162,231,218,113,209,180,212,147,149,156,222,252,,0
사실 어그로 맞음,2023,11,561,282,264,129,81,67,103,52,61,85,130,119,,0
00이 맛있고 00이 친절해요,2023,12,6175,17485,12327,2538,1142,630,123,87,73,6,4,33,,0
순살아파트,2023,8,42,89,36,20,11,15,0,3,0,4,14,0,,0
아아 공습경보,2023,8,853,299,320,203,103,70,122,112,81,26,24,158,,0
지평좌표계,2023,3,68,102,61,69,70,56,42,62,27,34,60,46,,0
에헤이 조졌네 이거,2023,5,2863,3321,8328,3087,4883,1163,31,63,41,29,20,7,,0
원종단,2023,6,18,36,22,16,15,16,20,17,18,29,28,18,,0
이건 마지막 경고요,2023,10,43,26,38,37,30,35,28,42,29,18,36,20,,0
이게 노터치야,2023,6,294,306,555,223,114,54,28,7,16,3,14,5,,0
딸깍,2023,7,27861,15901,38386,24171,19907,21852,18731,11670,17896,11334,18566,14351,,1
이제는 더 이상 물러날 곳이 없다,2023,4,2204,1276,615,317,179,157,156,35,15,0,0,0,,0
인터넷 야메로,2023,5,529,774,904,509,261,139,114,26,11,0,0,0,,0
기습시위,2023,12,7934,3783,2232,1354,540,242,317,73,24,0,0,0,,0
잼버리,2023,7,2680,2212,5695,5708,2155,2101,52,58,76,46,55,184,,0
"제기랄, 또 00야",2023,2,5682,5474,4293,2853,1860,1403,1268,975,1155,1121,898,944,,1
취재가 시작되자,2023,3,157,246,90,40,31,13,5,3,7,0,0,2,,0
폼 미쳤다,2023,9,56620,38356,30680,28450,41424,41366,44481,35795,40264,38324,49742,70606,,1
할 말이 없네,2023,5,505,399,618,650,858,1346,273,1290,1335,1608,1018,209,,1
휘슬,2023,2,52,26,119,58,30,17,13,11,15,0,0,8,,0
WWE,2023,11,6864,4052,15638,6241,8105,3198,126,139,38,66,65,8,,0
00는 이 일을 기억할 것입니다.,2023,4,3740,15072,10022,4297,4362,1501,94,91,83,24,17,5,,0
00의 봄,2023,11,2413,5941,4359,1842,663,643,259,65,84,50,66,18,,0
00가 되어줘,2023,6,294,162,65,67,22,16,14,24,4,2,0,0,,0
말아주다,2023,5,7393,18573,8470,22986,17079,12951,18972,15971,7985,10516,9300,8792,,1
할매니얼,2021,4,1595,3590,4916,3105,1387,684,359,155,74,30,14,5,,0
비질게,2023,4,1150,1630,5287,2165,1526,430,571,154,69,28,14,5,,0
넵병,2023,6,1056,4394,1956,1486,442,295,185,141,78,42,43,9,,0
증발물,2022,4,5530,4517,1424,580,446,126,83,33,13,11,3,2,,0
억텐,2021,4,3050,3778,6244,4968,3598,3069,3552,2197,2169,1478,2237,1183,,1
00해주면 조켄네,2024,8,1015,1972,1241,709,327,158,109,71,40,22,12,5,,0
그런 날 있잖아,2023,7,10095,11006,16960,5335,2041,1413,610,275,741,28,19,6,,0
달란트,2023,12,48,37,41,52,52,44,45,36,48,34,32,39,,0
왕위계승,2022,10,3433,7245,4375,4739,2580,4150,5663,5708,4963,3465,4039,4283,,1
운있풍있,2024,11,93,104,110,102,118,110,104,111,96,86,107,111,,0
네카라쿠배,2021,4,11837,13396,14159,18836,9800,11200,10393,13280,10835,13127,14186,14070,,1
드래용,2024,1,110,121,123,138,135,138,100,121,99,104,118,113,,0
미라클 모닝,2025,3,5849,7064,6935,7967,17336,8317,6236,9091,10605,8448,9853,7949,,1
고능하다,2024,3,144,135,64,55,29,25,10,6,5,3,0,1,,0
너무 무서워,2025,2,1154,630,301,244,167,76,41,27,11,7,5,2,,0
먹BREAD,2023,2,8496,5115,2084,1090,473,211,127,42,26,14,9,4,,0
쌈@뽕하다,2024,3,2686,5571,2013,1644,1560,2069,229,7489,6880,3227,1522,2281,,1
스껄,2022,9,29054,15661,29476,39602,57285,35058,40118,142,29282,23722,19431,20064,,1
월루,2021,7,24662,18391,33151,19375,12973,14046,24962,17421,20038,17603,17702,11097,,1
나 안아,2024,10,12883,8830,19709,16554,10869,8913,8890,7377,6160,4373,4418,3844,,1
박이박이차돌박이 신기방기뽕뽕방기,2022,1,5174,8403,4055,2921,993,348,184,118,71,33,13,6,,0
반모,2021,3,115,110,119,115,122,236,113,77,80,82,104,82,,0
휀걸,2023,12,46,46,48,37,44,42,46,32,60,42,31,45,,0
문제가 될까요?,2024,7,2894,8451,3173,1102,634,389,124,87,29,14,9,4,,0
돈쭐,2021,5,1311,1530,1391,1748,3160,2510,3419,3926,5482,5500,3270,3031,,1
잼얘,2023,6,3373,3166,4372,2414,2238,1623,155,1246,1013,1098,846,842,,1
츄베릅,2023,10,194,267,562,639,1534,2428,187,3029,2258,169,2429,133,,1
00 감성 모르면 나가,2024,3,309,264,461,608,1202,1747,226,1406,178,1770,2366,2068,,1
아할,2023,4,2723,12722,3104,2099,2648,3008,3024,8353,6536,1631,2414,3184,,1
크보,2025,3,7214,4477,16344,11639,8633,6480,5302,4045,4039,2839,3021,2207,,1
선학개미,2022,3,31,33,23,23,28,32,20,26,18,22,21,22,,0
꾸안꾸,2021,12,9719,9764,27321,11246,8471,12599,7115,8971,22911,6012,8275,9700,,1
어머님 00가 너무 잘해요,2024,8,7687,3076,1757,548,410,145,371,51,24,7,0,0,,0
외계인 침공 시 00한 사람이 먼저 잡아먹힌다.,2024,6,484,376,481,473,480,687,143,812,636,944,762,717,,1
블챌,2022,6,1254,2041,2312,2760,4093,7125,72,5987,6622,280,8449,8579,,1
환승연애 이딴 거 안 나왔어,2023,12,2413,8037,4997,1730,910,455,238,471,42,28,14,8,,0
자강두천,2021,6,6454,7036,5560,7257,11911,5850,6613,5796,7062,4848,5941,8789,,1
사랑핵,2023,6,292,257,146,109,57,34,16,13,7,0,4,2,,0
킵고잉,2024,3,4633,4082,6563,5170,2899,3105,2646,51,1101,1411,199,694,,1
웃수저,2022,2,1696,1875,1939,3861,5313,6381,7798,8141,77,9825,9065,8324,,1
술의눈 백 개 마셨다,2023,10,10002,2898,1613,1396,331,223,85,42,17,15,3,3,,0
중꺾마,2022,12,16241,15532,11627,45519,46151,31437,38179,25772,23723,18547,22613,19711,,1
느좋,2024,8,37334,57792,59435,33185,30983,31627,28008,268,21776,20527,16806,13064,,1
목젖 6부 능선,2023,2,10968,18800,5823,2639,938,465,245,70,17,11,4,0,,0
깔끼하네,2024,1,461,566,606,764,1064,1236,1214,1734,1703,259,2215,2101,,1
사건이다,2024,3,241,284,144,98,76,41,29,18,13,7,4,2,,0
근데! 하지만! 그러나! But! However! Nevertheless!,2022,8,12180,31252,8369,1731,1345,512,308,460,38,27,12,2,,0
00하는 나 제법 젠틀해요,2021,7,697,907,420,313,165,79,64,40,20,15,7,0,,0
힝구리퐁퐁,2022,4,55,52,52,36,65,36,48,36,52,37,48,23,,0
웃안웃,2022,1,7104,3657,1690,744,281,167,108,310,22,8,4,3,,0
쪄죽따,2022,7,3354,3282,10765,4324,1599,377,381,162,45,17,13,5,,0
ㄴㅇㄱ,2021,5,3641,14460,2779,3751,2137,2282,3837,80,6752,3380,5471,2604,,1
나만의 블랙스완,2024,8,22057,7261,4076,1001,415,193,114,41,19,8,2,1,,0
하이브리드 고백,2023,10,17596,11252,3553,1703,655,223,138,28,15,6,3,0,,0
기분이다,2024,4,207,411,299,160,135,82,62,39,14,9,5,0,,0
황밸,2022,5,2481,14720,1853,1711,2507,1543,75,282,3828,1330,1997,2280,,1
개구리화 현상,2023,6,158,136,139,137,144,139,137,148,120,151,123,160,,0
식물확대범,2022,4,132,351,392,184,149,81,43,21,25,12,6,4,,0
하남자,2022,7,11256,10335,14159,10082,15959,10962,11858,12843,9827,10134,14580,15911,,1
라할살,2021,4,2133,2826,1718,1417,479,362,135,130,285,69,44,44,,0
전업자녀,2023,8,981,1309,1580,1759,1986,3554,3628,3664,3623,4584,4595,166,,1
가슴에 국밥 쏟음,2024,11,53,32,53,33,36,27,33,37,40,39,40,34,,0
민초단,2021,4,10692,30609,15361,17925,9948,16500,11169,13515,13823,17095,19788,18018,,1
돔황차,2021,6,2476,9281,6796,5249,5244,5356,2724,2594,2031,2412,2091,1939,,1
질누하,2023,6,136,150,83,53,35,23,21,11,5,0,2,0,,0
빌려온 고양이 같이,2025,1,3054,3284,1674,725,372,177,115,51,22,9,6,0,,0
도달가능미,2024,5,60,48,58,66,47,48,58,46,44,63,45,35,,0
용두사망,2022,12,4764,6241,3037,1007,660,329,127,83,40,14,7,3,,0
맵치광이,2022,12,3422,4066,1986,610,422,285,105,65,32,12,8,3,,0
깐부,2021,9,4823,7105,6130,36555,5260,7398,9947,42972,6743,8091,6375,7964,,1
푸데푸데,2024,12,3875,5724,22221,5851,1780,1584,609,300,114,37,18,5,,0
나잇값 하라구요? 싫어용.,2025,3,6615,10137,2796,1933,1009,481,215,87,34,29,10,9,,0
다들 00 하길래,2024,3,3084,1056,4263,1635,995,246,244,110,49,17,8,3,,0
식집사,2022,3,3210,11929,2991,2425,4156,2938,4830,10322,8808,2217,3220,2639,,1
솜넣이 필요해,2023,1,102,135,126,112,132,94,98,113,108,119,118,102,,0
런치플레이션,2022,6,4281,1864,1075,521,239,107,426,27,0,6,2,1,,0
무물,2021,4,7080,17028,13738,11932,12527,7626,6985,6163,4304,3660,3168,2973,,1
처돌이,2021,7,16899,13416,14132,13543,11527,26947,12040,11133,10213,12534,10943,12150,,1
웅니웅빠,2022,4,77,75,96,90,148,88,80,64,61,67,82,79,,0
야수의 심장,2021,5,2027,7992,3261,1347,2689,2810,2294,5929,4392,1606,2891,1827,,1
추구미,2023,5,2190,7036,4947,3606,3620,1990,2342,1372,1385,844,1027,1491,,1
듀아아아,2025,1,22,18,16,18,14,20,19,16,12,9,14,21,,0
반박 시 니 말이 맞음,2021,9,9194,15518,5940,9474,8687,6144,6511,5460,5288,6584,9090,9146,,1
읏쇼 읏쇼,2024,12,1641,1915,3209,1975,750,543,376,145,120,64,52,49,,0
너 뭐 돼?,2022,3,19497,28306,28214,39148,23144,34646,24633,172,23890,17700,12080,11607,,1
엥 감전당했나,2023,9,567,1180,1640,844,456,214,179,103,78,62,43,15,,0
점메추,2021,4,8101,9879,8510,17786,10501,9596,10442,10174,10036,6668,10084,15803,,1
복복복,2023,5,1103,2986,4003,1077,740,458,251,58,42,24,8,0,,0
갓생,2021,7,17451,16540,29635,11309,18495,16519,11282,13554,15929,13490,18221,20089,,1
밈첩하다,2023,1,322,298,377,346,411,472,94,584,530,113,680,537,,1
떨렌다,2023,8,786,1745,2729,1912,1172,898,107,938,365,640,1046,527,,1
카우룽 카우룽,2024,11,8296,5770,12028,4092,1239,747,386,107,58,17,8,3,,0
촌캉스,2023,3,2403,5170,9490,4767,4903,3982,3179,3634,2441,2408,1893,2402,,1
차카니 몇 개를 먹은 거람,2024,9,3657,13113,3292,2353,772,434,138,68,239,0,5,3,,0
닝바닝,2022,12,77,73,88,94,69,56,72,68,50,61,53,77,,0
빵빠레 불면서 시작,2023,10,1256,1213,2548,1781,840,450,311,151,99,56,44,29,,0
공능제,2021,4,38,42,31,43,44,33,31,39,44,23,24,40,,0
분좋카,2022,9,1661,2023,6262,3653,1557,673,475,143,102,27,20,12,,0
"이건안, 이지에",2023,12,10452,3347,2028,874,464,303,97,306,34,14,7,3,,0
진순파,2022,10,342,540,516,198,159,94,74,29,13,13,6,5,,0
그르륵 갉,2023,8,6664,3876,1042,610,284,123,66,32,246,8,6,2,,0
엉엉슨,2024,11,1292,1054,402,331,107,77,69,23,22,12,0,0,,0
행집욕부,2024,7,77,76,66,55,60,61,125,53,61,51,60,57,,0
우내할,2023,3,113,115,92,104,107,93,100,102,100,106,105,105,,0
북부대공,2025,3,73,45,67,64,53,79,50,32,50,51,55,45,,0
쫌쫌따리,2021,7,54,66,54,49,65,50,38,35,58,51,42,47,,0
꾸웨액,2023,1,83,108,124,111,106,70,100,63,75,75,94,102,,0
업토버,2021,10,50,63,63,74,71,68,64,57,46,63,49,64,,0
디지털 페지 줍기,2022,9,34,42,36,46,47,36,39,35,35,33,20,37,,0
헉스베리,2023,7,353,405,157,129,77,41,26,20,10,8,6,2,,0
거지발싸개요일,2022,5,57,59,32,49,32,31,29,35,36,33,29,51,,0
어서오고,2021,5,1004,967,1455,2077,2878,3418,3620,3390,2570,3121,5053,4156,,1
순욱당했네,2019,4,27,36,46,39,26,40,36,34,40,30,31,28,,0
쉽지 않음,2020,7,6193,36412,5623,3983,5614,5449,4619,169,4906,26123,3463,3770,,1
이걸 실시간으로 보다니,2018,8,310,312,306,224,107,63,35,26,16,11,6,3,,0
라는 내용의 애니 없냐,2018,9,443,548,491,719,1009,858,988,149,196,1342,863,1197,,1
경찰서 정모,2021,6,357,757,434,165,118,76,44,35,12,8,4,0,,0
리얼,2020,3,13084,8624,10883,25301,10313,12375,13695,15830,10670,11772,13392,8254,,1
마렵다,2018,5,11959,9883,33211,25728,23526,16429,14801,14598,14547,11077,10088,10018,,1
반오십,2021,2,2873,8037,3465,3503,3796,3886,2338,5075,5427,3046,2554,2489,,1
소식좌,2022,8,1041,837,548,234,194,65,55,33,11,8,6,0,,0
신의 한 수,2023,1,8155,8916,22584,10608,10373,7661,5200,10928,7273,22500,9125,9857,,1
싱크로율,2020,5,405,630,550,1004,1743,2226,170,176,2884,2764,2644,181,,1
쿨내,2021,8,19249,37876,20811,17397,25774,19315,17745,18341,19592,19570,9503,12559,,1
오또케,2020,12,27429,58419,48566,41359,32571,30636,23374,23384,20427,17041,16526,11970,,1
홈로윈,2021,10,4122,2486,6526,3540,2619,3437,3017,1740,1652,1037,246,176,,1
유앤케이,2024,2,180,204,140,79,50,27,28,10,7,3,4,2,,0
코리안 아이스드 커피,2021,9,60,80,54,68,78,48,57,67,49,68,45,58,,0
을지로입구 99번출구,2021,10,19,16,16,14,14,14,15,15,15,11,14,10,,0
티모시 샬라메 살라메,2024,2,6832,3533,1130,963,442,150,348,34,22,0,0,2,,0
BORG,2023,5,9981,21882,3687,1810,1052,462,114,57,25,13,5,2,,0
헤어지자고? 너 누군데,2024,8,15595,23485,10501,2973,1381,608,305,467,50,17,0,0,,0
경관의 피,2022,1,80,57,66,90,81,49,59,66,79,47,51,79,,0
살구명장,2024,6,7427,3375,1391,633,178,108,38,14,0,2,2,1,,0
상치,2021,9,79,107,99,87,87,89,98,100,73,92,66,68,,0
원도우 펀치맨,2023,8,134,402,207,82,71,41,25,15,13,0,0,3,,0
김땅콩,2024,11,61,54,33,35,41,42,37,29,29,48,45,40,,0
공범,2021,10,166,448,552,261,158,97,52,55,28,13,9,7,,0
